original,new
0F9A3642,PRU0058209
0F9A3643,PRU0111993-0
0F9A3644,PRU0060469
0F9A3645,PRU0084702
0F9A3646,PRU0043215
0F9A3647,PRU0063273
0F9A3648,PRU0013842
0F9A3649,PRU0088883
0F9A3650,PRU0045879
0F9A3651,PRU0026173
0F9A3652,PRU0077729
0F9A3653,PRU0077729
0F9A3654,PRU0797095
0F9A3655,PRU0093498
0F9A3656,PRU0019252
0F9A3657,PRU0078140
0F9A3658,PRU0079799
0F9A3659,PRU0077322
0F9A3660,PRU0070398
0F9A3661,PRU0082436
0F9A3662,PRU0048150
0F9A3663,PRU0047017
0F9A3664,PRU0044911
0F9A3665,PRU0053819
0F9A3666,PRU0039702
0F9A3667,PRU0063002
0F9A3668,PRU0063193
0F9A3669,PRU0076084
0F9A3670,PRU0063175
0F9A3671,PRU0059184
0F9A3672,PRU0062391
0F9A3673,PRU0092986
0F9A3674,PRU0008055
0F9A3675,PRU0077349
0F9A3676,PRU0029784
0F9A3677,PRU0077781
0F9A3678,PRU0050409
0F9A3679,PRU0020867
0F9A3680,PRU0111347-0
0F9A3681,PRU0024139
0F9A3682,PRU0062680
0F9A3683,PRU0024121
0F9A3684,PRU0067617
0F9A3685,PRU0020869
0F9A3686,PRU0075118
0F9A3687,PRU0075118
0F9A3688,PRU0058241
0F9A3689,PRU0023005
0F9A3690,PRU0023005
0F9A3691,PRU0039396
0F9A3692,PRU0121603
0F9A3693,PRU0071757
0F9A3694,PRU0073280
0F9A3695,PRU0121575
0F9A3696,PRU0055021
0F9A3697,PRU0123180
0F9A3698,Null
0F9A3699,PRU0062253
0F9A3700,PRU0066366
0F9A3701,PRU0095373
0F9A3702,PRU0095373
0F9A3703,PRU0018071
0F9A3704,PRU0113404-0
0F9A3705,PRU0014490
0F9A3706,PRU0065123
0F9A3707,PRU0034187
0F9A3708,PRU0018356
0F9A3709,PRU0113502-0
0F9A3710,PRU0021010
0F9A3711,PRU0018111
0F9A3712,PRU0065276
0F9A3713,PRU0065848
0F9A3714,PRU0050260
0F9A3715,PRU0050260
0F9A3716,PRU0035221
0F9A3717,PRU0113330-0
0F9A3718,PRU0008977
0F9A3719,PRU0070481
0F9A3720,PRU0010381
0F9A3721,PRU0067234
0F9A3722,PRU0066689
0F9A3723,PRU0095436
0F9A3724,PRU0113358
0F9A3725,PRU0023104
0F9A3726,PRU0087304
0F9A3727,PRU0087313
0F9A3728,PRU0124601
0F9A3729,PRU0077646
0F9A3730,PRU0117684
0F9A3731,PRU0122634
0F9A3732,PRU0113735
0F9A3733,PRU0117510
0F9A3734,PRU0117683
0F9A3735,PRU0072091
0F9A3736,PRU0113441-0
0F9A3737,PRU0050424
0F9A3738,PRU0113463-0
0F9A3739,PRU0072201
0F9A3740,PRU0035171
0F9A3741,PRU0120074
0F9A3742,PRU0070488
0F9A3743,PRU0045271
0F9A3744,PRU0069443
0F9A3745,PRU0041682
0F9A3746,PRU0076115
0F9A3747,PRU0130830
0F9A3748,PRU0031226
0F9A3749,PRU0054791
0F9A3750,PRU0093772
0F9A3751,PRU0064129
0F9A3752,PRU0048861
0F9A3753,PRU0064983
0F9A3754,PRU0045036
0F9A3755,PRU0049668
0F9A3756,PRU0049668
0F9A3757,PRU0018343
0F9A3758,PRU0072103
0F9A3759,PRU0030806
0F9A3760,PRU0113098-0
0F9A3761,PRU0070058
0F9A3762,PRU0071195
0F9A3763,PRU0113181-0
0F9A3764,
0F9A3765,PRU0070793
0F9A3766,PRU0072654
0F9A3767,PRU0072621
0F9A3768,PRU0072099
0F9A3769,PRU0050580
0F9A3770,PRU0035208
0F9A3771,PRU0064948
0F9A3772,PRU0040436
0F9A3773,PRU0112249-0
0F9A3774,PRU0063057
0F9A3775,PRU0072730
0F9A3776,PRU0038021
0F9A3777,PRU0038759
0F9A3778,PRU0078204
0F9A3779,PRU0117742
0F9A3780,PRU0050220
